#,Treatment,Repetition,Pressure,Nozzle,Dv 10 ,Dv 50 ,Dv 90,Span, % < 100 um, % < 150 um
6,Engenia + Gly K,C,5,ULDMax025,"         149,9",               354,"                836,0","                    1,9","                        2,3","                      10,0"
6,Engenia + Gly K,D,5,ULDMax025,"         142,0",               339,"                744,3","                    1,8","                        3,2","                      11,6"
6,Engenia + Gly K,E,5,ULDMax025,"         147,1",               366,"                829,2","                    1,9","                        2,9","                      10,5"
6,Engenia + Gly K,A,3,TTI025,"         275,0",               705,                1.350,"                  1,53","                        0,7","                        3,0"
6,Engenia + Gly K,B,3,TTI025,"         222,5",               678,                1.434,"                  1,79","                        1,0","                        4,1"
6,Engenia + Gly K,C,3,TTI025,"         183,4",               579,                1.396,"                  2,09","                        1,6","                        6,2"
6,Engenia + Gly K,D,3,TTI025,"         183,4",               588,                1.390,"                  2,05","                        1,5","                        6,1"
6,Engenia + Gly K,A,5,TTI025,"         170,0",               501,                1.194,"                  2,04","                        2,1","                        7,4"
6,Engenia + Gly K,B,5,TTI025,"         159,6",               508,                1.328,"                  2,30","                        2,8","                        8,7"
6,Engenia + Gly K,C,5,TTI025,"         165,8",               500,                1.203,"                  2,07","                        2,1","                        7,8"
6,Engenia + Gly K,D,5,TTI025,"         166,5",               535,                1.338,"                  2,19","                        2,3","                        7,8"
6,Engenia + Gly K,A,3,ULD025,"         150,8",               347,"                687,1","                    1,5","                        2,7","                        9,9"
6,Engenia + Gly K,B,3,ULD025,"         158,0",               361,"                727,4","                    1,6","                        2,2","                        8,6"
6,Engenia + Gly K,C,3,ULD025,"         146,2",               326,"                686,7","                    1,7","                        2,7","                      10,8"
6,Engenia + Gly K,D,3,ULD025,"         151,9",               336,"                726,5","                    1,7","                        2,3","                        9,6"
6,Engenia + Gly K,A,5,ULD025,"         137,1",               303,"                700,0","                    1,9","                        3,3","                      13,0"
6,Engenia + Gly K,B,5,ULD025,"         134,8",               298,"                700,2","                    1,9","                        3,5","                      13,7"
6,Engenia + Gly K,C,5,ULD025,"         137,3",               292,"                661,8","                    1,8","                        3,1","                      13,1"
6,Engenia + Gly K,D,5,ULD025,"         135,4",               298,"                688,3","                    1,9","                        3,6","                      13,5"
7,"Engenia + Gly K + Mees 0,1%",A,3,ULDMax025,"         355,8",               818,"            1.544,0","                    1,5","                        0,5","                        2,5"
7,"Engenia + Gly K + Mees 0,1%",B,3,ULDMax025,"         331,0",               767,"            1.487,0","                    1,5","                        0,2","                        1,6"
7,"Engenia + Gly K + Mees 0,1%",C,3,ULDMax025,"         275,0",               769,"            1.557,0","                    1,7","                        0,3","                        2,3"
7,"Engenia + Gly K + Mees 0,1%",D,3,ULDMax025,"         301,3",               770,"            1.514,0","                    1,6","                        0,4","                        2,0"
7,"Engenia + Gly K + Mees 0,1%",A,5,ULDMax025,"         190,2",               500,"            1.043,0","                    1,7","                        1,0","                        5,3"
7,"Engenia + Gly K + Mees 0,1%",B,5,ULDMax025,"         197,8",               511,"            1.044,0","                    1,7","                        1,0","                        4,8"
7,"Engenia + Gly K + Mees 0,1%",C,5,ULDMax025,"         193,8",               494,"            1.023,0","                    1,7","                        1,1","                        5,0"
7,"Engenia + Gly K + Mees 0,1%",D,5,ULDMax025,"         198,9",               513,"            1.045,0","                    1,6","                        1,0","                        4,7"
7,"Engenia + Gly K + Mees 0,1%",E,5,ULDMax025,"         198,2",               520,"            1.083,0","                    1,7","                        1,2","                        5,0"
7,"Engenia + Gly K + Mees 0,1%",A,3,TTI025,"         278,2",               789,                1.547,"                  1,61","                        0,6","                        2,7"
7,"Engenia + Gly K + Mees 0,1%",B,3,TTI025,"         277,5",               684,                1.310,"                  1,51","                        0,5","                        2,4"
7,"Engenia + Gly K + Mees 0,1%",C,3,TTI025,"         274,4",               678,                1.357,"                  1,60","                        0,5","                        2,4"
7,"Engenia + Gly K + Mees 0,1%",D,3,TTI025,"         262,9",               672,                1.336,"                  1,60","                        0,4","                        2,4"
7,"Engenia + Gly K + Mees 0,1%",A,5,TTI025,"         220,6",               545,                1.124,"                  1,66","                        0,8","                        3,6"
7,"Engenia + Gly K + Mees 0,1%",B,5,TTI025,"         208,0",               543,                1.149,"                  1,73","                        0,9","                        4,1"
7,"Engenia + Gly K + Mees 0,1%",C,5,TTI025,"         219,9",               564,                1.191,"                  1,72","                        0,7","                        3,6"
7,"Engenia + Gly K + Mees 0,1%",D,5,TTI025,"         205,2",               530,                1.081,"                  1,66","                        0,9","                        4,3"
7,"Engenia + Gly K + Mees 0,1%",A,3,ULD025,"         150,5",               345,"                681,3","                    1,5","                        2,7","                        9,9"
7,"Engenia + Gly K + Mees 0,1%",B,3,ULD025,"         152,6",               337,"                672,4","                    1,5","                        2,3","                        9,5"
7,"Engenia + Gly K + Mees 0,1%",C,3,ULD025,"         155,5",               332,"                664,3","                    1,5","                        1,9","                        8,9"
7,"Engenia + Gly K + Mees 0,1%",D,3,ULD025,"         154,2",               329,"                649,9","                    1,5","                        2,0","                        9,2"
7,"Engenia + Gly K + Mees 0,1%",A,5,ULD025,"         136,3",               285,"                578,0","                    1,6","                        3,2","                      13,4"
7,"Engenia + Gly K + Mees 0,1%",B,5,ULD025,"         134,3",               284,"                589,6","                    1,6","                        3,5","                      13,9"
7,"Engenia + Gly K + Mees 0,1%",C,5,ULD025,"         137,2",               284,"                577,5","                    1,5","                        3,1","                      13,2"
7,"Engenia + Gly K + Mees 0,1%",D,5,ULD025,"         135,4",               288,"                576,7","                    1,5","                        3,6","                      13,5"
7,"Engenia + Gly K + Mees 0,1%",E,5,ULD025,"         135,2",               287,"                587,5","                    1,6","                        3,4","                      13,7"
8,"Atectra + Gly + Mees 0,1%",A,3,ULDMax025,"         324,0",               798,"            1.543,0","                    1,5","                        0,7","                        2,5"
8,"Atectra + Gly + Mees 0,1%",B,3,ULDMax025,"         351,2",               814,"            1.553,0","                    1,5","                        0,3","                        1,6"
8,"Atectra + Gly + Mees 0,1%",C,3,ULDMax025,"         350,2",               824,"            1.598,0","                    1,5","                        0,1","                        1,2"
8,"Atectra + Gly + Mees 0,1%",D,3,ULDMax025,"         298,2",               713,"            1.357,0","                    1,5","                        0,5","                        2,2"
8,"Atectra + Gly + Mees 0,1%",A,5,ULDMax025,"         227,4",               548,"            1.087,0","                    1,6","                        0,9","                        3,7"
8,"Atectra + Gly + Mees 0,1%",B,5,ULDMax025,"         229,2",               574,"            1.202,0","                    1,7","                        0,7","                        3,3"
8,"Atectra + Gly + Mees 0,1%",C,5,ULDMax025,"         232,2",               583,"            1.191,0","                    1,6","                        0,6","                        3,3"
8,"Atectra + Gly + Mees 0,1%",D,5,ULDMax025,"         222,5",               556,"            1.127,0","                    1,6","                        0,9","                        3,7"
8,"Atectra + Gly + Mees 0,1%",E,5,ULDMax025,"         224,6",               566,"            1.160,0","                    1,7","                        0,9","                        3,7"
8,"Atectra + Gly + Mees 0,1%",A,3,TTI025,"         276,9",               716,"            1.406,0","                    1,6","                        0,7","                        2,7"
8,"Atectra + Gly + Mees 0,1%",B,3,TTI025,"         287,1",               719,"            1.396,0","                    1,5","                        0,6","                        2,7"
8,"Atectra + Gly + Mees 0,1%",C,3,TTI025,"         270,3",               710,"            1.443,0","                    1,7","                        0,5","                        2,6"
8,"Atectra + Gly + Mees 0,1%",D,3,TTI025,"         252,6",               659,"            1.308,0","                    1,6","                        0,6","                        3,0"
8,"Atectra + Gly + Mees 0,1%",A,5,TTI025,"         214,6",               539,"            1.090,0","                    1,6","                        1,0","                        4,2"
8,"Atectra + Gly + Mees 0,1%",B,5,TTI025,"         212,4",               543,"            1.083,0","                    1,6","                        0,9","                        4,2"
8,"Atectra + Gly + Mees 0,1%",C,5,TTI025,"         210,7",               537,"            1.113,0","                    1,7","                        0,8","                        3,9"
8,"Atectra + Gly + Mees 0,1%",D,5,TTI025,"         214,5",               538,"            1.089,0","                    1,6","                        0,8","                        3,9"
8,"Atectra + Gly + Mees 0,1%",E,5,TTI025,"         220,3",               566,"            1.151,0","                    1,6","                        0,9","                        3,8"
8,"Atectra + Gly + Mees 0,1%",A,3,ULD025,"         148,7",               343,"                694,3","                    1,6","                        2,7","                      10,3"
8,"Atectra + Gly + Mees 0,1%",B,3,ULD025,"         159,1",               353,"                685,1","                    1,5","                        1,9","                        8,4"
8,"Atectra + Gly + Mees 0,1%",C,3,ULD025,"         155,2",               335,"                687,3","                    1,6","                        1,8","                        9,0"
8,"Atectra + Gly + Mees 0,1%",D,3,ULD025,"         153,7",               333,"                671,8","                    1,6","                        1,9","                        9,3"
8,"Atectra + Gly + Mees 0,1%",A,5,ULD025,"         134,1",               283,"                586,8","                    1,6","                        3,5","                      14,0"
8,"Atectra + Gly + Mees 0,1%",B,5,ULD025,"         134,1",               280,"                577,4","                    1,6","                        3,4","                      14,1"
8,"Atectra + Gly + Mees 0,1%",C,5,ULD025,"         133,2",               276,"                562,5","                    1,6","                        3,6","                      14,3"
8,"Atectra + Gly + Mees 0,1%",D,5,ULD025,"         133,7",               279,"                570,9","                    1,6","                        3,5","                      14,2"
8,"Atectra + Gly + Mees 0,1%",E,5,ULD025,"         132,6",               280,"                570,0","                    1,6","                        3,7","                      14,4"
9,"Engenia + Gly + FluiFlex 0,1%",A,3,ULDMax025,"         244,9",               705,"            1.389,0","                    1,6","                        1,0","                        3,8"
9,"Engenia + Gly + FluiFlex 0,1%",B,3,ULDMax025,"         324,7",               842,"            1.637,0","                    1,6","                        0,6","                        2,2"
9,"Engenia + Gly + FluiFlex 0,1%",C,3,ULDMax025,"         268,0",               701,"            1.412,0","                    1,6","                        0,5","                        2,5"
9,"Engenia + Gly + FluiFlex 0,1%",D,3,ULDMax025,"         251,2",               629,"            1.260,0","                    1,6","                        0,5","                        2,6"
9,"Engenia + Gly + FluiFlex 0,1%",A,5,ULDMax025,"         187,6",               502,"            1.038,0","                    1,7","                        1,2","                        5,5"
9,"Engenia + Gly + FluiFlex 0,1%",B,5,ULDMax025,"         191,8",               507,"            1.112,0","                    1,8","                        0,9","                        5,0"
9,"Engenia + Gly + FluiFlex 0,1%",C,5,ULDMax025,"         179,4",               469,"            1.023,0","                    1,8","                        1,3","                        6,1"
9,"Engenia + Gly + FluiFlex 0,1%",D,5,ULDMax025,"         173,3",               459,"                965,3","                    1,7","                        1,5","                        6,8"
9,"Engenia + Gly + FluiFlex 0,1%",E,5,ULDMax025,"         187,7",               483,"            1.051,0","                    1,8","                        1,2","                        5,4"
9,"Engenia + Gly + FluiFlex 0,1%",A,3,TTI025,"         290,4",               741,"            1.465,0","                    1,6","                        0,7","                        2,8"
9,"Engenia + Gly + FluiFlex 0,1%",B,3,TTI025,"         291,5",               724,"            1.389,0","                    1,5","                        0,6","                        2,6"
9,"Engenia + Gly + FluiFlex 0,1%",C,3,TTI025,"         278,5",               724,"            1.466,0","                    1,6","                        0,5","                        2,5"
9,"Engenia + Gly + FluiFlex 0,1%",D,3,TTI025,"         247,0",               625,"            1.193,0","                    1,5","                        0,6","                        3,2"
